District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Households_with_Internet,Rural_Households,Urban_Households,Households
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,229064,190899,38165,762,158438,23226,181664
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,214866,162578,52288,1999,160649,27190,187839
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,75079,53265,21814,574,36920,17474,54394
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,51873,39839,12034,235,40370,7774,48144
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,161393,117677,43716,346,132139,15269,147408
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,290912,184752,106160,673,196070,17508,213578
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,200431,161548,38883,1443,181374,33473,214847
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,304200,249581,54619,3698,210543,48932,259475
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,149317,101380,47937,985,80521,17555,98076
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,407188,333151,74037,16413,4518,257721,262239
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,100890,73305,27585,878,63788,13558,77346
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,188420,138428,49992,1537,147520,21703,169223
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,87721,63931,23790,884,75616,5272,80888
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,389684,244032,145652,2712,207067,70666,277733
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,159990,102317,57673,838,95952,25178,121130
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,151912,101144,50768,596,122267,11350,133617
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,87212,68476,18736,417,84281,5341,89622
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,82974,56779,26195,274,72378,5993,78371
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,243672,163845,79827,1214,148664,34696,183360
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,144767,88755,56012,602,95572,12261,107833
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,508622,417456,91166,19905,254566,248043,502609
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,92526,81952,10574,992,94247,19989,114236
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,294035,158791,135244,1615,186395,13836,200231
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,675170,403756,271414,8053,588321,39007,627328
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,19295,10763,8532,61,17434,0,17434
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,269084,148829,120255,2623,167995,20709,188704
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,572671,297464,275207,5333,431129,31696,462825
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,241931,118724,123207,2521,196116,15232,211348
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,215346,141612,73734,2412,185091,20126,205217
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,205871,111543,94328,1574,152458,11987,164445
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,298737,190001,108736,5250,192787,51509,244296
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,280083,169399,110684,2220,171102,21054,192156
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,430926,258628,172298,9177,279269,95896,375165
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,56273,33863,22410,354,44514,0,44514
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,757138,637652,119486,14428,420860,185488,606348
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,284165,235562,48603,9732,165433,95770,261203
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,774472,639484,134988,39082,330339,377791,708130
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,499822,412506,87316,13747,422673,128592,551265
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,204329,170252,34077,5264,183168,48383,231551
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,214783,182777,32006,5138,117559,57337,174896
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1284822,1053600,231222,58589,395032,641789,1036821
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,359172,292379,66793,7897,214295,74144,288439
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,756695,596406,160289,10042,348522,153868,502390
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,335326,272699,62627,4571,149507,74650,224157
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,221555,185049,36506,4348,99946,58917,158863
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,549986,432988,116998,11284,218159,137563,355722
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,328512,230739,97773,2673,145603,50786,196389
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,660267,549661,110606,24274,299279,218090,517369
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,917856,735195,182661,29961,275477,385476,660953
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,380702,313639,67063,4300,222717,44457,267174
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,233676,186910,46766,6600,148162,60537,208699
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,355995,283367,72628,25944,117293,174042,291335
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,568758,485129,83629,10736,292156,156788,448944
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,209331,178163,31168,3501,102577,54222,156799
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,404136,328159,75977,44283,8911,289456,298367
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,157276,84265,73011,602,112148,9061,121209
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,180940,93832,87108,899,163434,22906,186340
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,113032,52339,60693,418,112705,4454,117159
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,280442,140821,139621,1366,227059,27177,254236
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,582768,458834,123934,25862,228245,269393,497638
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,274152,147373,126779,2633,279682,36780,316462
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,216490,113539,102951,1344,183687,26256,209943
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,123638,58708,64930,435,96031,3880,99911
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,298211,142460,155751,1830,260056,21082,281138
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,99566,60427,39139,548,85202,12839,98041
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,376181,256935,119246,7265,193086,105577,298663
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,591458,444578,146880,7883,269406,145253,414659
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,578121,497810,80311,11947,301828,186183,488011
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,211479,164865,46614,18615,70895,93656,164551
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,372139,320120,52019,12899,175365,139891,315256
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,389233,342343,46890,8079,214464,143259,357723
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,336780,268556,68224,7356,203553,88268,291821
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,373899,292696,81203,3724,231091,75696,306787
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,516062,411646,104416,11163,292682,135920,428602
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,412318,328667,83651,10024,173502,153804,327306
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,523179,391085,132094,9029,283858,133576,417434
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,523422,368277,155145,5263,278335,89665,368000
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,369083,263498,105585,3210,203020,55360,258380
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,502003,369462,132541,6287,245476,93316,338792
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,691621,488321,203300,10132,302013,154113,456126
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,623006,430678,192328,5292,357047,99235,456282
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,345967,272646,73321,8482,175203,131739,306942
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,326534,250020,76514,5034,211816,78328,290144
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,338584,232935,105649,2624,223726,44216,267942
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,337727,235326,102401,5121,199449,69305,268754
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,544716,432456,112260,67087,141703,381988,523691
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,289964,224642,65322,935,187398,36237,223635
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,579229,476933,102296,43437,87700,382981,470681
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,309563,241464,68099,4283,186069,63090,249159
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,1188545,1022419,166126,114044,67592,959275,1026867
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,296446,257575,38871,21418,4512,296559,301071
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,661386,594353,67033,30390,5326,482255,487581
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,80037,1086,461132,462218
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,59541,46940,12601,7366,0,52664,52664
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,207374,177621,29753,19724,0,194897,194897
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,874320,732598,141722,109666,1809,699703,701512
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,795352,667977,127375,94853,41179,606503,647682
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,924393,775592,148801,111453,2918,728145,731063
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,912672,596320,316352,6295,397697,164897,562594
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,835260,512802,322458,3360,389059,108694,497753
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,986208,640572,345636,7607,335754,196179,531933
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,902829,541404,361425,2577,344897,148996,493893
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,894649,541392,353257,4828,500452,150357,650809
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,1708542,994171,714371,9750,782294,212967,995261
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,1071154,647198,423956,4179,479437,129697,609134
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,523212,339110,184102,1330,214670,58626,273296
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,628726,371058,257668,1059,305047,59308,364355
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,578068,343802,234266,1887,282057,71264,353321
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,684495,398151,286344,1719,361084,59610,420694
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,2464893,1714947,749946,76565,754841,977838,1732679
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,1006504,657854,348650,5647,527560,178274,705834
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,1425882,857031,568851,4449,675712,166489,842201
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,1489741,965103,524638,19335,584215,307442,891657
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,288903,182565,106338,754,159117,30830,189947
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,1202482,696240,506242,2766,542825,55980,598805
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,896644,494906,401738,1585,419216,48202,467418
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,419829,272196,147633,2146,238535,69639,308174
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,842327,523077,319250,4043,512909,139808,652717
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,1053722,686149,367573,13499,409335,274919,684254
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,649161,371848,277313,1908,298911,81755,380666
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,526091,314806,211285,1392,239836,63452,303288
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,1148165,674589,473576,6207,530015,145865,675880
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,550831,319534,231297,1989,304622,61054,365676
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,641515,346624,294891,1477,322816,31547,354363
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,916574,482236,434338,2324,390437,39407,429844
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,802755,456632,346123,4941,366780,88873,455653
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,748811,534650,214161,12843,203454,311735,515189
128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,552583,329754,222829,1363,249184,69804,318988
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,685950,402825,283125,1750,298624,63763,362387
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,1365783,835839,529944,14211,665449,182769,848218
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,481294,251691,229603,716,209813,24269,234082
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,1037344,911136,126208,9699,605082,284156,889238
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,1291644,1081569,210075,10077,673746,296104,969850
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,1088036,921497,166539,7303,683875,224648,908523
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,1417811,1193439,224372,11690,692398,355518,1047916
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258,737261,609693,127568,3847,396775,143217,539992
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,599089,459037,140052,2825,335888,115486,451374
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968,1090539,898810,191729,23717,381520,422303,803823
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,416695,342604,74091,2989,246055,69991,316046
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,1520538,1231615,288923,78116,355407,836316,1191723
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,569109,443384,125725,53181,170835,338935,509770
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,1173260,897815,275445,7865,658449,221628,880077
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,1174361,929337,245024,13634,582117,275942,858059
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,484115,398126,85989,3087,288150,84883,373033
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400,840939,635142,205797,8726,407488,177802,585290
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,1389844,1119701,270143,27183,496971,406852,903823
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492,761521,621840,139681,5834,349747,185621,535368
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775,560840,466067,94773,2642,338475,72783,411258
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976,1107343,939616,167727,3634,710956,156668,867624
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,1401971,1153006,248965,15164,631613,362798,994411
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805,618605,534939,83666,2870,371752,89638,461390
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,892214,783313,108901,3889,520289,134714,655003
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,1264718,1058483,206235,3402,754938,107672,862610
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,1422602,1171252,251350,3874,827583,111319,938902
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,3845,786613,121064,907677
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,1124744,851014,273730,3476,596317,121039,717356
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,1542806,1226399,316407,68506,344155,717566,1061721
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,1204710,867393,337317,5184,705025,73393,778418
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,2624,316647,94843,411490
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,524676,430934,93742,2488,299785,65985,365770
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,2964,265643,85483,351126
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,442023,364543,77480,2404,255836,58438,314274
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,628864,493991,134873,2682,363933,41323,405256
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,1572232,1299871,272361,33966,364869,684906,1049775
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,2217,304856,91565,396421
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,8517,309592,195321,504913
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,503351,326783,176568,1079,258013,43819,301832
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,443655,308527,135128,1196,256081,55300,311381
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,349676,237153,112523,1316,198298,48525,246823
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,1655,378056,67569,445625
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,394197,254977,139220,827,207237,23558,230795
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,3385,558807,77733,636540
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,1066601,704569,362032,5149,711085,41701,752786
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,639086,402644,236442,1503,349856,30764,380620
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,24122,983266,265304,1248570
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,3159,635840,79068,714908
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,4746,510378,79288,589666
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,2509,501559,65031,566590
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,1242632,869838,372794,5956,839737,49891,889628
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,2681,698520,61742,760262
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,403755,293981,109774,624,248770,8504,257274
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,1551,410070,35768,445838
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,4313,673578,52794,726372
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,878898,583633,295265,2434,480165,33348,513513
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,3423,513960,31065,545025
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,539469,383482,155987,2031,324972,27179,352151
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,994253,659465,334788,2694,573046,34033,607079
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,14597,761958,189170,951128
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,1116973,804857,312116,3486,742324,42775,785099
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,4469,597778,67928,665706
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,6652,891024,80434,971458
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,696747,475413,221334,2656,352207,99321,451528
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,4672,564927,64454,629381
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,8002,926088,80582,1006670
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,5309,700173,61467,761640
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,3492,344937,50822,395759
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,1220708,921234,299474,19214,438935,316129,755064
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,470608,343155,127453,2896,293510,45997,339507
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,881996,613061,268935,4447,465152,77963,543115
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,730399,463611,266788,5149,337048,91040,428088
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,2635,334246,67752,401998
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,472765,375213,97552,1623,271234,72490,343724
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,1478947,999282,479665,3495,839514,96620,936134
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1737539,1260774,476765,7719,1142260,101565,1243825
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,216372,166693,49679,478,158484,7516,166000
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,1114583,865929,248654,3460,807294,49670,856964
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1636938,1105947,530991,5319,1047552,41234,1088786
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,877682,551718,325964,1845,572287,27815,600102
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,2561,659061,44213,703274
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,529064,421192,107872,1093,401793,43357,445150
